"1","115","Comisión de Asistencia Social, Familia y Niñez","23"
"2","116","Comisión de Competitividad, Desarrollo Económico, Innovación y Trabajo","16"
"3","117","Comisión de Derechos Humanos y Pueblos Originarios","6"
"4","118","Comisión de Desarrollo Productivo y Regional","2"
"5","119","Comisión de Educación,Cultura y Deporte","29"
"6","120","Comisión de Estudios Legislativos y Reglamentos","50"
"7","122","Comisión de Gobernación y Fortalecimiento Municipal","6"
"8","21","Comisión de Hacienda y Presupuestos","34"
"9","123","Comisión de Higiene, Salud Pública y Prevención de las Adicciones","17"
"10","124","Comisión de Igualdad Sustantiva y de Género","10"
"11","126","Comisión de Medio Ambiente, Sostenibilidad, Protección Civil y Resilencia","4"
"12","125","Comisión de Movilidad y Transporte","11"
"13","127","Comisión de Participación Ciudadana, Transparencia y Etica en el Servicio Público","11"
"14","128","Comisión de Planeación, Ordenamiento Territorial y de la Gestión del Agua","8"
"15","129","Comisión de Puntos Constitucionales y Electorales","47"
"16","131","Comisión de Responsabilidades","4"
"17","132","Comisión de Seguridad y Justicia","23"
"18","133","Comisión de Vigilancia y Sistema Anticorrupción","3"
